"","InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"428465","573442","21479","WHITE SKULL HOT WATER BOTTLE ",4,"10/31/2011 10:42",4.25,12488,"France"
"223280","556478","22178","VICTORIAN GLASS HANGING T-LIGHT",24,"6/12/2011 12:34",1.25,13069,"United Kingdom"
"49251","540509","22424","ENAMEL BREAD BIN CREAM",1,"1/9/2011 11:27",12.75,14800,"United Kingdom"
"107865","545464","90036E","FLOWER GLASS GARLD NECKL36""AMETHYST",1,"3/3/2011 9:10",7.9,NA,"United Kingdom"
"249592","558904","21204","DAISIES  HONEYCOMB GARLAND ",2,"7/4/2011 16:18",1.63,NA,"United Kingdom"
"169642","551198","79030G","TUMBLER NEW ENGLAND",120,"4/27/2011 11:26",0.39,13694,"United Kingdom"
"447456","574950","23527","WALL ART ANIMALS AND NATURE ",1,"11/8/2011 9:29",7.46,NA,"United Kingdom"
"422907","573123","22595","GINGHAM HEART DECORATION",12,"10/27/2011 16:23",0.85,13654,"United Kingdom"
"437240","574278","22487","WHITE WOOD GARDEN PLANT LADDER",4,"11/3/2011 14:42",8.5,15814,"United Kingdom"
"273423","560828","85015","SET OF 12  VINTAGE POSTCARD SET",24,"7/21/2011 11:55",0.65,14298,"United Kingdom"
"396811","571098","22795","SWEETHEART RECIPE BOOK STAND",1,"10/13/2011 15:38",6.75,17841,"United Kingdom"
"62929","541516","22692","DOORMAT WELCOME TO OUR HOME",1,"1/18/2011 17:34",14.13,NA,"United Kingdom"
"445900","574864","22572","ROCKING HORSE GREEN CHRISTMAS ",12,"11/7/2011 12:29",0.85,14387,"United Kingdom"
"539390","581439","20733","GOLD MINI TAPE MEASURE ",4,"12/8/2011 16:30",0.83,NA,"United Kingdom"
"226755","556812","23240","SET OF 4 KNICK KNACK TINS DOILEY ",6,"6/14/2011 17:25",8.29,NA,"United Kingdom"
"480304","577297","23583","LUNCH BAG PAISLEY PARK  ",1,"11/18/2011 12:48",1.65,14593,"United Kingdom"
"85668","543486","21733","RED HANGING HEART T-LIGHT HOLDER",6,"2/9/2011 10:24",2.95,13319,"United Kingdom"
"228909","C556966","22827","RUSTIC  SEVENTEEN DRAWER SIDEBOARD",-1,"6/16/2011 9:55",165,13523,"United Kingdom"
"10158","537227","21977","PACK OF 60 PINK PAISLEY CAKE CASES",48,"12/6/2010 8:42",0.55,17677,"United Kingdom"
"19487","537865","21669","BLUE STRIPE CERAMIC DRAWER KNOB",6,"12/8/2010 16:34",1.25,16011,"United Kingdom"
"486684","577743","23101","SILVER STARS TABLE DECORATION",12,"11/21/2011 13:44",0.83,17006,"United Kingdom"
"352498","567673","22109","FULL ENGLISH BREAKFAST PLATE",1,"9/21/2011 15:43",7.46,NA,"United Kingdom"
"149772","549301","84879","ASSORTED COLOUR BIRD ORNAMENT",16,"4/8/2011 8:24",1.69,16643,"United Kingdom"
"481216","577355","71477","COLOUR GLASS. STAR T-LIGHT HOLDER",4,"11/18/2011 15:53",3.95,14911,"EIRE"
"237873","557888","21644","ASSORTED TUTTI FRUTTI HEART BOX",1,"6/23/2011 13:51",1.25,14656,"United Kingdom"
"18968","537823","22851","SET 20 NAPKINS FAIRY CAKES DESIGN ",2,"12/8/2010 14:25",1.66,NA,"United Kingdom"
"164542","550651","22523","CHILDS GARDEN FORK PINK",2,"4/19/2011 16:52",0.85,15436,"United Kingdom"
"76088","542619","85062","PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",6,"1/30/2011 15:54",1.65,13869,"United Kingdom"
"329831","565855","22530","MAGIC DRAWING SLATE DOLLY GIRL ",24,"9/7/2011 13:30",0.42,15114,"United Kingdom"
"379725","569700","47593B","SCOTTIE DOGS BABY BIB",3,"10/5/2011 15:56",0.83,NA,"United Kingdom"
"16992","537669","21725","SWEETIES  STICKERS",12,"12/8/2010 8:58",0.85,16863,"United Kingdom"
"49461","540517","21733","RED HANGING HEART T-LIGHT HOLDER",2,"1/9/2011 12:02",2.95,17128,"United Kingdom"
"378525","569653","22898","CHILDRENS APRON APPLES DESIGN",8,"10/5/2011 12:52",1.95,12451,"Switzerland"
"393084","570796","22578","WOODEN STAR CHRISTMAS SCANDINAVIAN",5,"10/12/2011 12:19",0.29,16241,"United Kingdom"
"296716","562930","22789","T-LIGHT HOLDER SWEETHEART HANGING",16,"8/10/2011 16:01",1.95,14209,"United Kingdom"
"84019","543358","DOT","DOTCOM POSTAGE",1,"2/7/2011 14:04",218.26,NA,"United Kingdom"
"170371","551291","22423","REGENCY CAKESTAND 3 TIER",16,"4/27/2011 14:26",10.95,14298,"United Kingdom"
"117255","546375","85096","",48,"3/11/2011 12:07",0,NA,"United Kingdom"
"491239","578067","22819","BIRTHDAY CARD, RETRO SPOT",8,"11/22/2011 15:43",0.42,NA,"United Kingdom"
"384596","570167","22465","HANGING METAL STAR LANTERN",12,"10/7/2011 14:04",1.65,15615,"United Kingdom"
"76824","542662","20726","LUNCH BAG WOODLAND",10,"1/31/2011 12:10",1.65,18145,"United Kingdom"
"183696","552667","22362","GLASS JAR PEACOCK BATH SALTS",1,"5/10/2011 15:05",5.79,NA,"United Kingdom"
"154320","549903","22084","PAPER CHAIN KIT EMPIRE",3,"4/12/2011 16:19",2.95,17576,"United Kingdom"
