"","Exhaust.System.Specialists","Intake.System.Specialists","Fuel.Emissions.Specialists","Drivetrain.Specialists","Repair.Date"
"1",1,1,0,1,2017-02-03
"2",1,1,1,1,2017-01-27
"3",1,1,2,2,2017-01-30
"4",1,1,1,1,2017-01-24
"5",1,1,2,2,2017-02-02
"6",1,1,2,2,2017-01-27
"7",4,2,1,2,2017-02-01
"8",3,2,1,1,2017-02-04
"9",1,1,2,2,2017-02-05
"10",1,1,2,2,2017-02-15
"11",1,1,1,2,2017-02-03
"12",3,2,2,2,2017-02-03
"13",1,1,2,1,2017-01-31
"14",1,1,1,1,2017-01-28
"15",1,1,2,1,2017-01-27
"16",1,1,2,1,2017-02-08
"17",1,1,3,2,2017-01-27
"18",1,1,1,2,2017-01-29
"19",3,2,2,2,2017-02-06
"20",3,2,1,2,2017-01-27
"21",3,2,1,1,2017-02-14
"22",1,1,1,2,2017-02-08
"23",4,2,1,2,2017-01-28
"24",1,1,1,1,2017-01-26
"25",1,1,1,1,2017-01-26
"26",3,2,1,1,2017-02-12
"27",1,1,2,2,2017-01-26
"28",2,4,2,1,2017-02-11
"29",1,1,2,2,2017-02-04
"30",1,1,2,1,2017-01-28
"31",4,2,1,1,2017-01-24
"32",1,1,2,2,2017-01-24
"33",1,1,1,2,2017-02-11
"34",1,1,2,2,2017-01-29
"35",1,1,2,1,2017-01-30
"36",1,1,2,2,2017-02-14
"37",1,1,1,1,2017-01-24
"38",1,1,2,1,2017-01-30
"39",1,1,2,2,2017-02-04
"40",1,1,2,1,2017-02-05
"41",3,2,2,3,2017-01-26
"42",1,1,2,2,2017-01-24
"43",3,2,1,2,2017-01-26
"44",1,1,1,2,2017-02-12
"45",1,1,2,2,2017-02-07
"46",4,2,2,1,2017-01-24
"47",1,1,1,2,2017-02-01
"48",1,1,1,2,2017-01-27
"49",1,1,2,2,2017-02-08
"50",1,1,2,2,2017-01-24
"51",3,2,1,1,2017-02-05
"52",1,1,1,1,2017-01-25
"53",1,1,1,1,2017-02-12
"54",1,1,2,1,2017-02-12
"55",1,1,1,1,2017-01-25
"56",3,2,1,2,2017-02-05
"57",3,2,1,1,2017-02-09
"58",1,1,2,3,2017-01-26
"59",1,1,1,1,2017-01-28
"60",3,2,2,2,2017-01-30
"61",1,1,1,2,2017-01-31
"62",1,1,1,1,2017-02-10
"63",1,1,1,1,2017-02-08
"64",3,2,2,1,2017-02-05
"65",3,2,2,2,2017-01-29
"66",3,2,1,2,2017-01-25
"67",3,2,1,1,2017-02-10
"68",1,1,1,1,2017-02-11
"69",1,1,1,1,2017-01-24
"70",1,1,1,1,2017-01-25
"71",1,1,1,1,2017-01-28
"72",1,1,1,1,2017-01-25
"73",1,1,1,1,2017-02-12
"74",1,1,1,2,2017-02-13
